A little|لږ
A lot|ګن شمیر
A unit of measurement used for things that have legs or is considered a standing object (computer)|پایه
Ability|توان/وس/وسع
Ability|وس/قدرت/توان
About|په باره کې/په هکله کې
About|د ... په باره کې
About|د‌... پا باره/پا هکله
Above/on|باندی
Absorption/registration/admittance|جذب
Accepting|منظور
Accounting|محاسبه
Accusation/blame|تور
Acid|تېزاب
Action|اقدام
Action movie|جنکي فلم
Activities (related to Hajj)|مناسک
Actor|ممثیل/ناټکي
Addicted|د ... معتاد/روږد
Addiction|اعتیاد/روږدیدنه
Adjective|صفت/ستیانوم
Adult|بالغ
Advanced|پیشرفته
Affair|نامشروع اړیکې
Affected/hit|ځپل کېدل
Aforementioned|نوموړی/یاد شوی
After|بیا/لهٔ ... وروسته
After (know but don't use)|پس له ... څخه
After two weeks|هفته دوو پس
Aftermath|عواقب
Afterward|ورپسې/بیا/لهٔ هغې وروسته/تر وروسته
Again|بیا
Again again|وار وار
Again/return|بېرته
Against|په ضد/په مقابل کې/په وړاندي
Age passed like the wind, pitty pitty. obe|عمر باد غوندي تیریږي درېغه درېغه خزان به دود رژیږي درېغه درېغه
Agriculture|کرنیزحاصلات/کرهنیر پیدوار
Agriculture|کرهڼه
Aim|مقصد/هدف/مطلب/موخه
Air force|هوایې فوځ
Alcohol|شراب
Alcohol|می/شراب
All|ټول
All|ګرده
All night|تمامه شپه
All/finished|تمام
Almond|بادام
Almond-like|بادامي
Alone|تنها
Alone|یواځي
Alternative|متبادله/بدیل
Alternative livelyhood|معیشت بدیل
Ambassador|سفیر
Ammunition/weapons|مهمات
Analyst|شنونکی
Anarchy|انارشي
Anger|قهر
Animal skin (used in the context of clothing as well)|چرم
Animals/beasts|ځناور
Announcement|خبرتیا
Anti-personnel|پرسونل ضد
Anti-tank|ټانک ضد
Anyway|په هرصوت
Anyways|ُپه هر صورت
Apology|معذرت
Appetite|اشتها
Apple|مټه
Apple|مڼه/سېب
Application|غوښتن لیک
Architect|مهندس
Architecture|هندسه
Are you a human or a demon?|انس یې که چنس یې؟
Are you healthy|جوړ یې
Area|علاقه/منطقه/سیمه
Area above the lip|سنت
Area/field|عرصه
Army|پوځ
Arrangment/arrangements|ترتیب/ترتیبات
Art|هنر
Artifact/artifacts|اثر/آثار
Artist|هنرمند
Artist|هنرمند
Artist/photographer|عکاس
Aryan|آریان
As|په توګه/په ډول
As|په حیث
As soon as possible|څومره چې زر کیږي/هر څومره زر چې امکان ولري
Ashes|ایره
Assistant|معاون/مرستیال
Asylum|دار المساکین
At last|بلاخره/په بای کې
At least|اقلاً
At least|لږ تر لږ
At the entrance|دمخه
Atomic weapons|اټومي وسله
Attack|برید
Attack|حمله
Attack/assault|تعروض/تجاورز/تېری
Attorney|ثارنوال
Authentic|کره
Authorities|مقامات
Authority|واکمنی
Avalanche|واوره ښویېدنه/برف کوچ
Avenue|جاده
Aware of/Known|معلوم
Baby camel|جونګی
Back door/private door|عقبي دروازه/د شا دروازه/خصوصي دروازه
Background/backgrounds|سابقه/سوابق
Backwards/Third world/Behind|وروسته پاتی
Bag|بیګ
Bag|کوڅوړه/خلته
Balanced/just|عادل
Ball|توپ
Ball (testicle)|خوټه
Banana|کله
Barbaric/brutality|وحشت/بربریت
Barbed wire|اغزن سیم
Barbed wire|سیم خارادار
Barley (mass noun)|اوربشي
Base|هده
Based on|په اساس
Basic necessities/facilities|لومړني امکانات
Basic needs|اساسي ضرورتونه
Basic regulation|اساسي توګه
Bastard|حرمونی
Bathroom|تشناب
Bathroom|کیناراب
Baton|لرګی
Be fresh|جوړ تازه
Beach|سمندر غاړه
Beautiful|ښکلی
Because|چون
Because|چون
Because|ځکه چي
Bed rest/break|استرحات
Before|قبل
Before|مخکې له/لهٔ ... د مخه/مخکښې
Beginning|ابتدایي
Belief|پاور
Belief|یقین/باور/عقیده/اعتماد
Besides/despite|سر بېره
Better|بهتر
Between|په منځ
Bible|بایبل/اینجیل
Big house|سرای
Bird|مرغه
