English|پښتو
100000.0|لک
100 sq/m|بسوه
42 inches|کچ
5 year old camel|لوک
50 Afghanies banknote|پنځوسی
500 Afghanies  banknote|پنځسويز
500 Afghanies  banknote|پنځه سويز
565kg.|خروار
7066 grams|من
7066g|سېر
a  |کوم يو
a  |يو
a guard|محافظ
a large number|ګن شيمر
a little|لږ
a little|یو څه
a little|یو نوکی
a little bit|لږ زره
a little bit|لږ څۀ
a lot|زيات(ه)
a lot|زږته ډېر
a lot|زښته
a lot|ډېر(ه)
a number of|يو لړ
a series|يو لړ
A.D|مسيحی کال
AA (Assembly Area)|د را غونډېدو / را ټولېدو  ساحه 
abacus|چوت
Abakhel|اباخېل
abandon|خوشې کول
abandon|پرېښوول
abandon|پرېښودل
abandoned|متروک
abandoned|وروسته پاتې
abandonment|پرېسښودنه
abandonment|ترکول
abandonment|پرېښودنه
abbreviate|لنډول
abbreviate|مخفف کول
abbreviated|مخفف
abbreviation|اختصار
abbreviation|لنډيز
abbreviation|مخفف
Abdali|ابدالی
abdicate|لاس نيول
abdicate|ځان ګوښه کول
abdication|لاس اخيستنه
abdication|ګوښه والی
abdomen|بطن
abdomen|ګيډه
Abdomen|نس / ګېډه
Abdominal Cavity|د نس جوف
abduct|انسان تښتول
abduction|انسان تښتونه
abduction|اختطاف
abductor|انسان تښتونکی
abhorrence|کرکه
abhorrent|کرکجن
abhorrent|نااېسيا
ability|قابليت
ability|لياقت
ability|استعداد
ability|وس
ability|وړتيا
ability|توانايي
ability|ضارفيت
ability|کفايت
ability|توان
ability to rationalize|شهور
able|قابل
able|لايق
able|توان
able|اهل
able|تکړه
able|جوګه
able|وړ
ablution|غسل
ablution|اودس (ونه)
abnormal|عيبي
abnormal|غيرمعمول
abnormal|غيرنورمال
abnormal|ناجوړ
abnormality|غير نورمالي
abnormality|غيرعادي والی
aboard|احاطه
abode|ټاټوبی
abolish|غيرقانوني اعلانول
abolish|لغو کول
abolish|له منځه وړل
abolished|منسوخ
abolished|منسوخول
abolished|منسوخېدل
abolishment|تباهي
abolishment|تخريب
abolition|له منځه وړنه
abominable|د کرکې وړ
abominable|له کرکې ډک
abondant|وافر
aboriginal|اصلي اوسېدونکی
abort|زيانول
abort|ضايع کول
Abort Criteria|د فعاليت قطع کولو لپاره لازم شرطونه
abortion|ماشوم زيانونه
about|باب
about|بابت
about|باره
about|پرې
about|چاپېر
about|هکله
about|پدې لړ کې
about|په اټکلي توګه
about|په اړه
about|په باب کې
about|په باره کې
about|په دې اړوند
about|په مناسبت
about|په هکله
about|په وجه
about|شاوخوا
about|نژدې
about|په راجح
about|په باب
about |په اړه 
about this|په دې مورد
above|پاس
above|پورته
above|باندې
above|برسيره
above|پور ته
above|جګ
above mentioned|نوموړی(ې)
abovementioned|پور ته يادشوی
Abrasions| سولونې / توږنې/ ګرونې
abroad|په بهر کې
abroad|له هيواده بهر
absence|غياب
absence|غيرحاضري
absence|ورکاوی
absent|غايب
absent|غيرحاضر
absent|ناسوب
absolute|مطلق
absolutely|قطعاً
absolutely|کورټ
absolutely|مطلق
absolutely|مطلقأ
absorb|غمل
absorb|جذبول
absorbed|جذبېدل
absorbent|څکاوو
absorption|جذب
abstacle|خنډ
abstaining|ممتنع
abstruse|غامض
abstruseness|تعقيد
abtuse   angled|منفرج ازاويه
abtuse  angle|منفرجه زاويه
abulation with earth|تيمم
abundance|پرېماني
abuse|بد رد
abuse|ښکنځا
abuse|ښکنځل
abuse|تيری
abuse|په سور اور نيول
abuse the law|درغلۍ کول
abusive|بدژبی
academic|تعليمي
academy|اکاډيمي
accassionaly|احياناً
accelerate|ګړندى کول
acceleration|ګړندۍ
accept|قبلول
accept|غاړه اېښودل
accept|غاړه کېښودل
accept|قايل
accept|منل
accept|په غاړه اخستل
accept|ته غاړه ايښوول
accept|قبول کول
accept|قانع کيدل
accept|منظورول
accept |منل
accept responsibility|پړه منل
accept responsibility|په غاړه اخيستل
acceptable|مقبول
acceptable|منظور
acceptance|قبول
acceptance|منښت
acceptance|تصويب
accepted|مبلی
accepted|مقبول
accepting|متقبل
access|لاسرسى
accessories|ملحقات
accessory|تجهيز
accident|تصادف
accident|تصادم
accident|پېښه
accident|حادثه
accidental|اتفاقي
accidental|تصادفي
accidental|عارضي
acclivity|ستغ
acclivity|ستوغ
acclivity and declivity|لوړې ځورې
accommodate|خوشحاله ساتل
accommodate|ځايدل
accompaniment|ملتوب
accompaniment|ملتيا
accomplish|پرځاى کول
accomplish|سر ته رسول
accomplish|سر ته رسېدل
accomplish|تر سره کول
accomplishment|اجراآت
accordance|مطابقت
according to|په اساس(ه)
according to|په مطابق
according to |له مخی
according to principles|د اصولو سره سم
according to the promise|له ژمنې سره سم
account|داستان
Accountability|سر شمېرنه، موجودي
accountant|محاسب
accouting|محاسبه
accumulated|متراکم
accumulated|مندرجو
accumulated|ټولېزه
accumulation|تراکم
accuracy|سموالی
accurate|ثقه
accuring|وقوع
accuring in small quantity|خال خال
accursed|ملعون
accusation|اتهام
accusation|تهمت
accusation|تور
accusation|تومت
accusation|پړتيا
accusation|ملامتى
accuse|تور لګول
accuse|متهم کول
accuse|په تور نيول
accuse|تورلګول
accuse|تورن
accuse|ګرم کول
accuse|ګرمول
accused|تومتي
accused|متهم
accused|ملزم
accused|تورن
accused  |تورن
accused person|تورن
accused person(s)|متهم(ين)
accusing|تومتي
accusition|الزام
accustomed|روږد
ace|توس
ACE (Ammunition, Casualty, Equipment) Report|د (مهماتو، تلفاتو ، تجهيزاتو) راپور
Acetate|ځانګړې پلاستيکي تخته / ورقه
acetate of copper|زنګال
ache|درد
ache|دړد
ache|خوږېدل
ache|درد کول
ache|درد لرل
ache|درديدل
achieve|لاس ته راوړل
achievement|کارکړنه
achievement|تحقق
aching|ژوبل(ه)
aching|خوږ(ه)
acid|اسيډ
acid|تېزاب
