aback|شاته
abacus|چوت
abandon|پريښودل
abandon|خوشې کول
abandon|پريښودل ، لاس اخیستل
abandoned|ترک کول
abandonment|ترک
abandonment|ترکول
abandonment|پرېښودنه
abase|رټل
abased|ټيټ شوى
abasement|سپكوالى
abash|شرمول
abate|غصبول
abatement|تنزيل
abatement|غصب
abbess|ساتونکی
abbey|لنګر
abbot|مشردخانقا
abbreviate|لنډول
abbreviated|مخفف
abbreviation|مخفف
abbreviation|لنډيز
abdicate|ګوښه كيدل، پريښودل
abdicate|پريښودل
abdicate|استفاه ورکول
abdicate|استعفا ورکول ، په رسمی توګه پریښودل
abdication|ګوښه کېدنه
abdomen|نس
abdomen|ګيډه
abdomen|ګيډه
abduct|تښتول
abduction|انسان تښتونه
abduction|اختطاف
abductor|انسان تښتونکی
abet|پارول
abeyance|ځنډ
abhor|کرکه کول
abhorrence|نفرت
abhorrent|نااېسيا
ability|توان
ability|قابليت
ability|قدرت
ability|لياقت
ability|وس
ability|وسه
ability|وس
ability|وړتيا
ability|توانايي
ability|ضارفيت
ability|کفايت
ability|قابلیت
abject|خوار، بيچاره
abjure|په رسمی ډول پریښودل، ردول
ablaze|بل
able|لايق
able|مستعد
able|توان
able|اهل
able|تکړه
able|جوګه
ablution|غسل
abnormal|غیری عادی
abnormal|غيرنورمال
abnormal|ناجوړ
abnormality|غيرعادي والی
abode|بورجل
abode|مسکن
abode|ټاټوبی
abolish|لری کول، منصوخیدل
abolished|ملغی
abolished|منسوخ
abolished|منسوخول
abolished|منسوخېدل
abolition|له منځه وړنه
abominable|د کرکې وړ
abominable|له کرکې ډک
abort|بچی غورځول
abortion|ضايع
abortive|بې حاصله
abortive|سلنډه
abortive|شنډ
about|بابت
about|باره
about|پرې
about|چاپېر
about|شاوخوا
about|هکله
about|په اړه
about|د ... پسی
about|په اټکلي توګه
above|پاس
above|پر
above|پورته
abridge|مخفف کول، لنډول
abridged|مختصر
abroad|خارج
abrogated|لغوه
abrupt|ناڅاپي
abruptly|دفعتاٌ
absence|غياب
absence|غيرحاضري
absence|ورکاوی
absent|غايب
absent|غيرحاضر
absent|ناسوب
absentee|غايب
absolute|مطلق العنان
absolutely|کورټ
absolutely|مطلق
absolutely|مطلقأ
absorbed|جذبېدل
absorbent|څکاوو
absorbent|څکی
absorption|جذب
abstaining|ممتنع
abstemious|لږ مصرف كوونكى
abstention|احتراز
abstention|امتناع
abstention|ډډه
abstinence|پرهېزګاري
abstinence|پرېز
abstinence|تقوی
abstinent|پرهیزګار
abstract|خلاصه
abstract|لنډيز
abstruse|مغلق
absurd|مبتذل
absurd|مزخرف
abundance|زياتوالی
abundance|ډېروالی
abundance|ډېرښت
abundant|ډېر
abuse|زياړه
abuse|کنځا
abuse|ښکنځا
abuse|ښکنځل
abuse|ناوړه استفاده کول
abusive|ژبه ور
abysmal|بد، ډیر بد
acacia|عکاسي
academic|تعليمي
academy|څېړنتون
accede|منل، قبلول
accept|منل
acceptable|موجه
acceptance|مننه
acceptance|منښت
acceptance|هوکه
acceptance|هوکړه
accepting|متقبل
access|لاس رسی درلودل
accident|تصادف
accident|تصادم
accident|حادثه
accident|واقعه
accident|واقعيت
accident|پېښه
accidental|تصادفي
accidental|غربي
acclaim|څرګندول د ناروسره؛ تودھرکلی کول
acclamation|تحسين
accommodate|تطبق کول، عملی کول
accompaniment|ملتيا
accompany|ګډون
accomplice|انډيوال
accomplish|اجرآ کول، سرته رسول
accomplished|کمالداره
accomplishment|سرته رسونه، اجرآ
accord|مرضي
accordance|مطابقت
according|مطابق
accost|ورنژدې کېدل
account|شرح
accountable|مسوول
accountant|محاسب
accrue|زیاتیدل
accumulated|متراکم
accumulation|تراکم
accuracy|سموالی
accurate|حساس
accursed|ملعون
accusation|الزام
accusation|تهمت
accusation|تور
accusation|تومت
accusation|شوډنګ
accuse|تورول
accused|تورن
accused|تومتي
accused|متهم
accused|ملزم
accusing|تومتي
accustomed|روږدی
accustomed|ولان
ace|توس
ache|درد
ache|دړد
ache|دړ
achieve|لاسته راوړل، تر لاسه کول
achievement|کاميابي
achievement|موفقيت
achromatic|بېرنګه
acid|تېزاب
acidity|تريووالی
acknowledgement|اقرار
acknowledgment|راسيد
acquaint|روږدول
acquaintance|اشنايي
acquaintance|پېژند ګلوي
acquaintance|شناخت
acquaintance|شناخته
acquaintance|معرفت
acquainted|روږدی
acquainted|مانوس
acquainted|وچړ
acquire|لاس ته راوستل
acquire|کسبول
acquired|اکتسابي
acquiring|استحصال
acquisition|کسبونه
acquittal|برأت
acquittance|برأت
acrobat|ډالباز
acronym|مخفف
across|پورې
act|عمل
act|فعل
act|کردار
action|پازه
action|عمل
action|فعل
actions|افعال
active|چالاک
active|چالاک
active|هوښيار
activity|څرو
actor|ممثل
actually|فعلاً
actually|واقعأ
actually|واقعي
acute|حاد
acuteness|وخامت
adam|باباآدم
adamant|پیاوړی
add|زیاتول
addenda|ملحقات
addendum|ضميمه
addicted|معتاد
addiction|عمل
addictions|انحرافات
addition|اضافي
addition|جمع
addition|علاوه
addition|زياتون
additional|اضافي
address|بيانيه
address|پته
address|خطاب
address|خطابه
address|عنوان
address|ځای
addressed|منادی
addressee|مرسل اليه
adequacy|کفايت
adherence|لاس نيوی
adherence|متابعت
adherent|تابع
adherent|طرفدار
adhesive|بروی
adhesive|برو
adieu|وداع
adjacent|مجاور
adjacent|منجاور
adjacent|منجور
adjacent|څرمه
adjectival|وصفي
adjective|ستاينوم
adjoining|پرله پوري
adjunct|مرستیال
adjust|سمول
adjust|عيارول
administering|تحليف
administration|اداره
administrative|اجرائيه
admiral|اميرالبحر
admiration|توصيف
admission|اقرار
admission|مننه
admission|شموليت
admit|اجازه ورکول
admitted|مقرب
admonish|سپارښتنه کول، نصحت کول
admonished|متنبه
admonishment|اخطار
admonition|تنبيه
admonition|ورم
admonitory|عبرتناک
adolescence|ځلميتوب
adolescent|ککوړی
adolescent|نوچک
adolescent|وشند
adolescent|ځوان
adolescent|ځوان
adopted|اموخته
adoption|اقتباس
adorable|کوکو
adoration|پرستش
